"id","name","description","manufacturer","price"
"http://www.google.com/base/feeds/snippets/11448761432933644608","spanish vocabulary builder","expand your vocabulary! contains fun lessons that both teach and entertain you'll quickly find yourself mastering new terms. includes games and more!",,6.95
"http://www.google.com/base/feeds/snippets/8175198959985911471","topics presents: museums of world","5 cd-rom set. step behind the velvet rope to examine some of the most treasured collections of antiquities art and inventions. includes the following the louvre - virtual visit 25 rooms in full screen interactive video detailed map of the louvre ...",,12.9
"http://www.google.com/base/feeds/snippets/18445827127704822533","sierrahome hse hallmark card studio special edition win 98 me 2000 xp","hallmark card studio special edition (win 98 me 2000 xp)","sierrahome",19.26
"http://www.google.com/base/feeds/snippets/18274317756231697680","adobe cs3 production premium academic","system requirements multicore intel processor (adobe photoshop® extended illustrator® flash® professional and after effects® professional are universal binary and also work on a powerpc® g4 or g5 processor; adobe onlocation? is a windows ...",,569.99
"http://www.google.com/base/feeds/snippets/18409551702230917208","equisys premium support zetafax 2007 - technical support - 1 year","equisys premium support - zetafax 2007 upgrade license - 10 users - technical support - phone consulting - 1 year - 2 h",,286.2
"http://www.google.com/base/feeds/snippets/5067138423923723304","quicken(r) quickbooks(r) microsoft money(r) and simply money(r) laser checks","compatible with your laser or inkjet printer!guaranteed smooth processing through your laser or inkjet printer. designed to withstand high heat without curling. available in blue green tan or maroon.compatible with all versions of quicken and ...",,106.29
"http://www.google.com/base/feeds/snippets/18400846626733696167","sea scene: living underwater worlds","bring the serenity of the ocean to yourpc!product informationenjoy the beauty and serenity of a virtual aquarium so real you will thinkyou're underwater. the lifelike marine habitats and amazing 3d modeled fish willtake your breath away. it features ...",,19.55
"http://www.google.com/base/feeds/snippets/18396354299258717606","autodesk 34006-010008-160 raster design 2006 essentials","raster design 2006 essentials","autodesk",52.99
"http://www.google.com/base/feeds/snippets/4178014773187756948","apple garageband jam pack: symphony orchestra","system requirements requires garageband (installed with ilife '04 or '05)* logic express 7 or logic pro 7. soundtrack supports loops only in jam packs. macintosh computer with g3 600mhz processor or higher to use apple loops (g4 or g5 required for ...",,95.99
"http://www.google.com/base/feeds/snippets/1695089910833084773","my first bible stories (jc)","brings seven of the best-loved stories from the bible to life",,9.9
"http://www.google.com/base/feeds/snippets/18422892267475594445","apple apple mac os x server 10 4 7 10 client","full version package type: retail for 10 client/s 1 server/s cd-rom dvd-rom mpn: ma613za",,499
"http://www.google.com/base/feeds/snippets/18404168006486239466","adobe systems inc - 29180248 - adobe photoshop elements 5.0/premiere elements 3.0","adobe® photoshop® elements 5.0 plus adobe premiere® elements 3.0 software combines two powerful yet easy-to-use products to deliver the most complete photo and video editing solution. entertain friends with unique cinematic slide shows and",,139.51
"http://www.google.com/base/feeds/snippets/18413075895200367717","microsoft 392-02322 ae frontpage 2003","microsoft frontpage academicmodel- ms-cd34597wiaevendor- microsoft corporation** academic authorized version **features- microsoft frontpage 2003 frontpage 2003 provides the features flexibility and functionalityto help you build better web sites. ...",,87.99
"http://www.google.com/base/feeds/snippets/18388043392791017514","panda software govt entsec truprevent 10-25u 2yr - ub2pesapra-gov",,,44
"http://www.google.com/base/feeds/snippets/18395637668335924867","learn2 training for microsoft powerpoint (win 95 98 me nt 2000 xp)","over 8000000 sold! used by fortune 500 companies and top government agencies for training learn2 training for microsoft powerpoint will walk you through the process of learning the world's most popular presentation software for pcs. learn2 training ...",,9.99
"http://www.google.com/base/feeds/snippets/4949402291543451335","family tree maker 11 collector's edition","overview dedicated family research calls for serious genealogy software. this great collection delivers an unprecedented wealth of data plus all of the convenient tools you expect from family tree maker. travel back in time on a research journey ...",,34.9
"http://www.google.com/base/feeds/snippets/1883379429602083103","data protection security suite 2005","new 2005 version! stompsoft's data protection utility suite 2005 is the ultimate protection and safeguard for your data with 3 powerful software applications. includes backup mypc 2005 recoverlost data 2005 and privacy protector 2005. backup my pc ...",,59.9
"http://www.google.com/base/feeds/snippets/949436197920820923","pencil-pal big phonics","overview meet zachary zebra and the rest of the firehouse team! they can't wait to give you a tour of the exciting activities inside the fire station. discover five-alarm fun in an educational game where children practice vowel sounds blends ...",,17.9
"http://www.google.com/base/feeds/snippets/18391914133104937904","sos aggregation company - 100800104 - buku karkuro - topware interactive","this game of logic and strategy will enhance even the most seasoned mind. get into the puzzle craze! hours and hours of addictive kakuro puzzle. create and solve your own puzzles. make your own playing boards or choose various themes. easy to learn",,15.95
"http://www.google.com/base/feeds/snippets/18405135648098652581","fogware publishing - 10356 - high school us history 2 - foreign policy & reform","learn about foreign policy from 1788-1963 and explore the social reform movements of the unites states of america. features: interactive tutoring printable tests to monitor progress easy to use interface <b",,6.84
"http://www.google.com/base/feeds/snippets/5665024204886410","recover lost data","overview get recover lost data and get peace of mind! gives you the power to restore your lost files with an easy-to-use and intuitive graphical recovery wizard. runs directly from a cd or installs to to the hard drive. powerful recovery tools find ...",,29.9
"http://www.google.com/base/feeds/snippets/18386073325514862606","smart steps - 4th grade (jc)","the most complete learning system! super-fun activities: over 430 in all! core subjects: english math and science! motivating rewards ensure learning! put your child a step ahead! watch your child s grades take off with this comprehensi",,11.95
"http://www.google.com/base/feeds/snippets/18384280629938052082","kaplan sat/act/psat express","kaplan has helped more than 3 million students score higher on admission exams and get into the nation's top colleges and universities. our effective program of practice review and test-taking strategies has made higher score sat/act/psat the best",,9.99
"http://www.google.com/base/feeds/snippets/2263647849333008264","adobe fireworks cs3","system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 1gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...",,309.99
"http://www.google.com/base/feeds/snippets/18446496383812786183","cookn vegetarian","the diet choice for many world cultures for millennia vegetarian cuisine is widely recognized as innovative exciting and appetizing as well as healthy. with cookn vegetarian you have the benefit of healthy foods in half the time.",,19.99
"http://www.google.com/base/feeds/snippets/16821958940203637711","microsoft h32-00034 sps extrnlconnnonemplyengl&s c 805529073074","microsoft h32-00034 sps extrnlconnnonemplyengl&s c 805529073074",,55420.56
"http://www.google.com/base/feeds/snippets/17110430434010171078","trudys time & place house","in five fascinating activities students build early science skills and practice important scientific processes.",,9.9
"http://www.google.com/base/feeds/snippets/13617884144968307233","steinberg nuendo 3 - educational edition music production software","nuendo 3 professional media production system for mac and windows - educational edition nuendo 3 from steinberg is a multi-track recording/editing software package designed to serve the needs for everyone producing sound for film television video or ...",,999.99
"http://www.google.com/base/feeds/snippets/13663267904094932963","individual software business planmaker pro 2008 (pc)","key features: easy step-by-step process financial modeling tools fast accurate forecasts 100 sample plans...",,39.99
"http://www.google.com/base/feeds/snippets/18403352308945312678","microsoft d48-00369 word mac 10.0 eng gov't 659556873790","microsoft d48-00369 word mac 10.0 eng gov't 659556873790",,191.94
